a,b,c,d,e,f,g,h
Indians Lose 5.3 years of Life to Air Pollution | UPSC,https://www.youtube.com/watch?v=7JNfwbuQGLQ,4485,Education,14M7S,4485,2023-09-01,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
EU’s Hypocrisy Exposed yet Again | UPSC,https://www.youtube.com/watch?v=LTIYrtb0sHY,8970,Education,11M44S,8970,2023-09-01,UPSC IAS LIVE Prelims to Interview (P2I) 2024 August Batch 2 : https://bit.ly/45NFpo7Admissions Closing on 31st August 2023 | Daily Live Classes at 6:00 PMHu...
"One Nation, One Election in India | UPSC",https://www.youtube.com/watch?v=sc3CkMKVjGM,62583,Education,20M35S,62583,2023-09-01,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
Surya Siddanth Se Surya Tak | India’s Space Dominance Begins | ADITYA L1,https://www.youtube.com/watch?v=iuRILf_AHYE,13044,Education,11M25S,13044,2023-09-01,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
India's Most Scariest Burari Case | Explained | Case Study,https://www.youtube.com/watch?v=vL-8i5IRoEA,19288,Education,35M40S,19288,2023-09-01,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
India's Exports Hit Record High Despite Global Recession | Indian government policies | UPSC,https://www.youtube.com/watch?v=RtcP1q1qXy4,99748,Education,13M10S,99748,2023-09-01,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
Do We Have a Superocean Underneath the Earth? | Nebular Theory | StudyIQ IAS,https://www.youtube.com/watch?v=0oFi6FZRNiQ,3182,Education,25M26S,3182,2023-09-01,UPSC IAS LIVE Prelims to Interview (P2I) 2024 August Batch 2 : https://bit.ly/45NFpo7Admissions Closing on 31st August 2023 | Daily Live Classes at 6:00 PMHu...
Insurance Terminology Set 6,https://www.youtube.com/watch?v=Ab6LCNHQOTQ,986,Education,35M58S,986,2023-09-01,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
Insurance Terminology Set 5,https://www.youtube.com/watch?v=f3mpG3mGYfY,4388,Education,40M33S,4388,2023-09-01,UPSC IAS LIVE Prelims to Interview (P2I) 2024 September Batch : https://bit.ly/3R21pqUBatch Starting on 11th September 2023 | Daily Live Classes at 8:00 AMHu...
Modi Government Calls 5 Days Special Session of Parliament | Uniform Civil Code | Single Poll | UPSC,https://www.youtube.com/watch?v=7vvwM-3MvLI,283221,Education,14M6S,283221,2023-09-01,UPSC IAS LIVE Prelims to Interview (P2I) 2024 August Batch 2 : https://bit.ly/45NFpo7Admissions Closing on 31st August 2023 | Daily Live Classes at 6:00 PMHu...
